column1,column2,column3,column4,column5,column6,column7,column8,column9,column10
1635489879934,TYPE_GYROSCOPE,0.12766708,-0.15210097,-0.04741702 ,3,,,,
1635489879934,TYPE_ROTATION_VECTOR,0.484856,-0.414008,-0.50402725 ,3,,,,
1635489879934,TYPE_ACCELEROMETER,-0.7217351,9.582657,1.3390833 ,3,,,,
1635489879934,TYPE_MAGNETIC_FIELD,-28.500002,-27.375002,-18.09375 ,3,,,,
1635489879934,TYPE_ACCELEROMETER_UNCALIBRATED,-0.1274178,9.647562,1.4300107,0.0,0.0,0.0,3,
1635489879934,TYPE_GYROSCOPE_UNCALIBRATED,0.13011047,-0.15103199,-0.023212196,0.002461103,0.0010533992,0.024225857,3,
1635489879934,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.850002,10.012501,-56.250004,-10.34684,37.38358,-38.14014,3,
1635489879985,TYPE_GYROSCOPE,0.12766708,-0.15210097,-0.04741702 ,3,,,,
1635489879985,TYPE_ROTATION_VECTOR,0.484856,-0.414008,-0.50402725 ,3,,,,
1635489879985,TYPE_ACCELEROMETER,-0.034695927,9.812367,1.4060824 ,3,,,,
1635489879985,TYPE_MAGNETIC_FIELD,-28.500002,-27.375002,-18.09375 ,3,,,,
1635489879985,TYPE_ACCELEROMETER_UNCALIBRATED,-0.1274178,9.647562,1.4300107,0.0,0.0,0.0,3,
1635489879985,TYPE_GYROSCOPE_UNCALIBRATED,0.13011047,-0.15103199,-0.023212196,0.002461103,0.0010533992,0.024225857,3,
1635489879985,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.850002,10.012501,-56.250004,-10.34684,37.38358,-38.14014,3,
1635489880036,TYPE_GYROSCOPE,0.074676074,0.015271181,0.0678804 ,3,,,,
1635489880036,TYPE_ROTATION_VECTOR,0.484856,-0.414008,-0.50402725 ,3,,,,
1635489880036,TYPE_ACCELEROMETER,0.2527419,9.742975,1.2287145 ,3,,,,
1635489880036,TYPE_MAGNETIC_FIELD,-28.500002,-27.375002,-18.09375 ,3,,,,
1635489880036,TYPE_ACCELEROMETER_UNCALIBRATED,-0.1274178,9.647562,1.4300107,0.0,0.0,0.0,3,
1635489880036,TYPE_GYROSCOPE_UNCALIBRATED,0.07711947,0.016340164,0.09208523,0.002461103,0.0010533992,0.024225857,3,
1635489880036,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.850002,10.012501,-56.250004,-10.34684,37.38358,-38.14014,3,
1635489880088,TYPE_GYROSCOPE,0.074676074,0.015271181,0.0678804 ,3,,,,
1635489880088,TYPE_ROTATION_VECTOR,0.48899096,-0.42687726,-0.5071052 ,3,,,,
1635489880088,TYPE_ACCELEROMETER,0.46331027,9.680762,1.5233307 ,3,,,,
1635489880088,TYPE_MAGNETIC_FIELD,-28.500002,-27.375002,-18.09375 ,3,,,,
1635489880088,TYPE_ACCELEROMETER_UNCALIBRATED,0.07836494,9.724431,1.148854,0.0,0.0,0.0,3,
1635489880088,TYPE_GYROSCOPE_UNCALIBRATED,0.07711947,0.016340164,0.09208523,0.002461103,0.0010533992,0.024225857,3,
1635489880088,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.850002,10.012501,-56.250004,-10.34684,37.38358,-38.14014,3,
1635489880139,TYPE_GYROSCOPE,0.074676074,0.015271181,0.0678804 ,3,,,,
1635489880139,TYPE_ROTATION_VECTOR,0.48899096,-0.42687726,-0.5071052 ,3,,,,
1635489880139,TYPE_ACCELEROMETER,0.5494519,9.680762,1.7315062 ,3,,,,
1635489880139,TYPE_MAGNETIC_FIELD,-28.5375,-29.41875,-16.087502 ,3,,,,
1635489880139,TYPE_ACCELEROMETER_UNCALIBRATED,0.07836494,9.724431,1.148854,0.0,0.0,0.0,3,
1635489880139,TYPE_GYROSCOPE_UNCALIBRATED,0.07711947,0.016340164,0.09208523,0.002461103,0.0010533992,0.024225857,3,
1635489880139,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.86875,7.9687505,-54.225002,-10.34684,37.38358,-38.14014,3,
1635489880191,TYPE_GYROSCOPE,0.074676074,0.015271181,0.0678804 ,3,,,,
1635489880191,TYPE_ROTATION_VECTOR,0.48899096,-0.42687726,-0.5071052 ,3,,,,
1635489880191,TYPE_ACCELEROMETER,0.33888352,9.675977,1.2598212 ,3,,,,
1635489880191,TYPE_MAGNETIC_FIELD,-28.5375,-29.41875,-16.087502 ,3,,,,
1635489880191,TYPE_ACCELEROMETER_UNCALIBRATED,0.07836494,9.724431,1.148854,0.0,0.0,0.0,3,
1635489880191,TYPE_GYROSCOPE_UNCALIBRATED,0.07711947,0.016340164,0.09208523,0.002461103,0.0010533992,0.024225857,3,
1635489880191,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.86875,7.9687505,-54.225002,-10.34684,37.38358,-38.14014,3,
1635489880243,TYPE_GYROSCOPE,-0.07658497,-0.022524992,-0.012522369 ,3,,,,
1635489880243,TYPE_ROTATION_VECTOR,0.48899096,-0.42687726,-0.5071052 ,3,,,,
1635489880243,TYPE_ACCELEROMETER,0.75553375,9.50818,0.70678 ,3,,,,
1635489880243,TYPE_MAGNETIC_FIELD,-28.5375,-29.41875,-16.087502 ,3,,,,
1635489880243,TYPE_ACCELEROMETER_UNCALIBRATED,0.07836494,9.724431,1.148854,0.0,0.0,0.0,3,
1635489880243,TYPE_GYROSCOPE_UNCALIBRATED,-0.074141584,-0.02145601,0.011682454,0.002461103,0.0010533992,0.024225857,3,
1635489880243,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.86875,7.9687505,-54.225002,-10.34684,37.38358,-38.14014,3,
1635489880296,TYPE_GYROSCOPE,-0.07658497,-0.022524992,-0.012522369 ,3,,,,
1635489880296,TYPE_ROTATION_VECTOR,0.4847883,-0.43192014,-0.5059754 ,3,,,,
1635489880296,TYPE_ACCELEROMETER,-1.1216356,9.640084,1.4994025 ,3,,,,
1635489880296,TYPE_MAGNETIC_FIELD,-28.5375,-29.41875,-16.087502 ,3,,,,
1635489880296,TYPE_ACCELEROMETER_UNCALIBRATED,0.24586253,9.582657,1.3884354,0.0,0.0,0.0,3,
1635489880296,TYPE_GYROSCOPE_UNCALIBRATED,-0.074141584,-0.02145601,0.011682454,0.002461103,0.0010533992,0.024225857,3,
1635489880296,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.86875,7.9687505,-54.225002,-10.34684,37.38358,-38.14014,3,
1635489880349,TYPE_GYROSCOPE,-0.07658497,-0.022524992,-0.012522369 ,3,,,,
1635489880349,TYPE_ROTATION_VECTOR,0.4847883,-0.43192014,-0.5059754 ,3,,,,
1635489880349,TYPE_ACCELEROMETER,1.1359925,9.690333,2.5576284 ,3,,,,
1635489880349,TYPE_MAGNETIC_FIELD,-28.425001,-30.7875,-14.625001 ,3,,,,
1635489880349,TYPE_ACCELEROMETER_UNCALIBRATED,0.24586253,9.582657,1.3884354,0.0,0.0,0.0,3,
1635489880349,TYPE_GYROSCOPE_UNCALIBRATED,-0.074141584,-0.02145601,0.011682454,0.002461103,0.0010533992,0.024225857,3,
1635489880349,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.775,6.58125,-52.7625,-10.34684,37.38358,-38.14014,3,
1635489880401,TYPE_GYROSCOPE,-0.07658497,-0.022524992,-0.012522369 ,3,,,,
1635489880401,TYPE_ROTATION_VECTOR,0.4847883,-0.43192014,-0.5059754 ,3,,,,
1635489880401,TYPE_ACCELEROMETER,0.5566304,9.49143,2.694019 ,3,,,,
1635489880401,TYPE_MAGNETIC_FIELD,-28.425001,-30.7875,-14.625001 ,3,,,,
1635489880401,TYPE_ACCELEROMETER_UNCALIBRATED,0.24586253,9.582657,1.3884354,0.0,0.0,0.0,3,
1635489880401,TYPE_GYROSCOPE_UNCALIBRATED,-0.074141584,-0.02145601,0.011682454,0.002461103,0.0010533992,0.024225857,3,
1635489880401,TYPE_MAGNETIC_FIELD_UNCALIBRATED,-38.775,6.58125,-52.7625,-10.34684,37.38358,-38.14014,3,
